Material Id,Material Name,Material Group,Plant,Closing Stock,Replenishment Quantity,6 April 2025 Sales Quantity Forecast,6 April 2025 Cashflow Forecast,13 April 2025 Sales Quantity Forecast,13 April 2025 Cashflow Forecast,20 April 2025 Sales Quantity Forecast,20 April 2025 Cashflow Forecast,27 April 2025 Sales Quantity Forecast,27 April 2025 Cashflow Forecast,Aging Risk
10-0000017,DOXY 1 LDR FORTE CAP 10 S,PH-CAP,Chennai,340,0,20,156,50,389,10,78,18,140,<3 Months
10-0000077,CAFIRATE DROPS 20 MG 3 ML,PH-DROP,Chennai,5,8,2,705,2,423,1,282,3,846,<3 Months
10-0000103,MUCOLITE DROPS15ML,PH-DROP,Chennai,105,0,3,68,4,91,7,159,9,204,<3 Months
10-0000126,REFRESH TEARS EYE DROPS 0.5 % 10 ML,PH-DROP,Chennai,12,0,1,100,0,50,1,100,4,401,<3 Months
10-0000132,T-MINIC DROPS 15 ML,PH-DROP,Chennai,33,2,2,157,6,472,5,394,10,787,<3 Months
10-0000165,DEXTROSE IV 25 % 100 ML BOTTLE,PH-FLUIDS,Chennai,256,0,8,89,4,47,5,59,6,77,<3 Months
10-0000239,FORACORT 100 MCG INHALER,PH-INH,Chennai,8,10,2,245,2,327,3,491,4,654,<3 Months
10-0000241,LEVOLIN 50 MCG 200 MD INHALER,PH-INH,Chennai,40,0,7,1112,6,953,5,794,4,635,<3 Months
10-0000347,CABOPROST INJ AMP 250 MCG 1 ML,PH-INJ RE,Chennai,102,0,4,233,2,117,1,58,0,0,<3 Months
10-0000378,CORT-S INJ 100 MG 2 ML,PH-INJ,Chennai,62,0,5,73,11,160,4,58,6,87,<3 Months
10-0000439,EPIDOSIN INJ 8 MG 1 ML,PH-INJ,Chennai,24,0,0,0,2,41,1,21,4,83,<3 Months
10-0000469,HEPLOCK (HEPARIN ) INJ 2 ML,PH-INJ,Chennai,100,7,18,222,14,172,22,271,25,308,<3 Months
10-0000535,MEM INJ  0.2 MG 1 ML,PH-INJ RE,Chennai,145,0,3,32,2,21,3,32,1,11,<3 Months
10-0000562,MYOPYROLATE-INJ-5ML,PH-INJ,Chennai,66,0,2,83,2,69,1,42,1,35,<3 Months
10-0000630,10-0000630,PH-INJ,Chennai,49,0,3,18,6,36,5,30,8,48,<3 Months
10-0000639,PYROLATE INJ AMP 0.2MG 1 ML,PH-INJ,Chennai,58,0,2,13,1,4,1,5,2,13,<3 Months
10-0000689,TAXIM INJ 500 MG,PH-INJ,Chennai,33,0,3,39,0,0,1,13,0,0,<3 Months
10-0000747,CALADRYL LOTION 120 ML,PH-LOT,Chennai,26,0,1,74,1,74,4,297,1,74,<3 Months
10-0000749,CALOSOFT-AF  LOTION 100 ML,PH-LOT,Chennai,11,6,4,608,3,456,1,152,2,304,<3 Months
10-0000782,CANDID CREAM 30 GMS,PH-OINT,Chennai,5,1,0,0,0,0,1,64,2,127,<3 Months
10-0000786,CERVIPRIME GEL 0.5 MG 3GM,PH-INJ RE,Chennai,31,0,1,153,3,460,0,0,1,153,<3 Months
10-0000820,LOX 2% JELLY 30 GM,PH-OINT,Chennai,57,0,5,95,6,114,7,133,5,95,<3 Months
10-0000821,LUBIC JELLY 20 GM,PH-OINT,Chennai,35,0,0,0,0,0,5,472,2,189,<3 Months
10-0000829,Nipcare 20 G Oint,PH-OINT,Chennai,36,0,3,293,0,0,0,0,0,0,<3 Months
10-0000869,CALCIROL SACHETS 60K 1 GM,PH-POW,Chennai,44,4,8,205,12,307,8,205,6,154,<3 Months
10-0000895,LACTODEX HMF SACHET 1 GM,PH-POW,Chennai,44,357,88,2048,65,1513,58,1350,76,1769,<3 Months
10-0000940,BUDECORT RESPULES 0.5 MG 2 ML,PH-RESP,Chennai,112,33,35,463,17,225,23,304,36,476,<3 Months
10-0000948,LEVOLIN  RESPULES 0.63 MG 2.5 ML,PH-RESP,Chennai,279,0,44,210,21,100,29,139,35,167,<3 Months
10-0000996,DULCOFLEX 10 MG ADULT SUPPOSITORIES  5 S,PH-SUPP,Chennai,1,19,2,56,6,168,1,28,3,84,<3 Months
10-0001002,JUSTIN SUPPOSITORIES 100 MG 5 S,PH-SUPP,Chennai,46,0,5,51,4,41,5,51,4,41,<3 Months
10-0001005,NEOMOL SUPPOSITORIES  170 MG 5 S,PH-SUPP,Chennai,105,0,3,17,1,6,1,6,1,6,<3 Months
10-0001788,CEPODEM SUSPENSION 100MG 30ML,PH-SYRUPS,Chennai,9,3,4,496,3,372,1,124,1,124,<3 Months
