,Aging,Cash_Flow_Prediction_week_1,Cash_Flow_Prediction_week_2,Cash_Flow_Prediction_week_3,Cash_Flow_Prediction_week_4,Demand_Forecast,Demand_Forecast_week_1,Demand_Forecast_week_2,Demand_Forecast_week_3,Demand_Forecast_week_4,Material,Order_Quantity,Plant,Stock,Stock_Value,Material Name
1,<3 Months,96.0,120.0,144.0,96.0,27.0,6.0,7.0,8.0,6.0,10-0000003,11.0,Hyderabad East,18.0,5996.0,AQUASOL A CAPS (25K ) BT
2,No Risk,172.0,129.0,216.0,302.0,310.0,60.0,60.0,80.0,110.0,10-0000004,226.0,Hyderabad East,150.0,22123.0,AUTRIN CAP 30 s
7,No Risk,545.0,424.0,364.0,485.0,250.0,70.0,60.0,50.0,70.0,10-0000014,160.0,Hyderabad East,144.0,44056.0,Danogen 50 Mg - Cap
10,No Risk,0.0,0.0,0.0,0.0,40.0,10.0,10.0,10.0,10.0,10-0000017,75.0,Hyderabad East,0.0,12771.0,DOXY 1 LDR FORTE CAP 10 S
12,No Risk,164.0,140.0,115.0,148.0,450.0,125.0,115.0,95.0,115.0,10-0000019,282.0,Hyderabad East,247.0,14950.0,EVION CAP 200 MG 20 S
14,No Risk,116.0,162.0,92.0,104.0,83.0,21.0,27.0,17.0,18.0,10-0000023,4.0,Hyderabad East,84.0,9515.0,FUMYCIN CAPS 150MG 1 S
16,No Risk,559.0,524.0,488.0,457.0,622.0,167.0,161.0,151.0,143.0,10-0000029,96.0,Hyderabad East,616.0,68294.0,KARVOL PLUS CAPS 10 S
17,<3 Months,6636.0,9332.0,9677.0,8848.0,5525.0,1080.0,1485.0,1540.0,1420.0,10-0000030,3227.0,Hyderabad East,2556.0,575092.0,LACTARE CAPS 1MG 30S
20,No Risk,166.0,249.0,332.0,415.0,112.0,20.0,26.0,30.0,36.0,10-0000038,34.0,Hyderabad East,90.0,17231.0,RAZO -D CAPS 15 S
28,No Risk,4380.0,5176.0,3583.0,3981.0,580.0,140.0,170.0,130.0,140.0,10-0000050,400.0,Hyderabad East,250.0,336919.0,SUSTEN CAPS 400 MG 10 S
33,<3 Months,156328.0,170540.0,184751.0,198963.0,58.0,13.0,14.0,15.0,16.0,10-0000057,35.0,Hyderabad East,27.0,11861740.0,EVAC70XTRAHPWITHINTEGRATEDCABLE-E
39,<3 Months,211.0,169.0,169.0,169.0,22.0,6.0,5.0,6.0,5.0,10-0000074,10.0,Hyderabad East,14.0,6993.0,ATARAX DROPS 6 MG 15 ML
40,No Risk,464.0,526.0,495.0,464.0,75.0,18.0,20.0,19.0,18.0,10-0000076,1.0,Hyderabad East,80.0,57121.0,BEVON DROPS  15 ML
41,<3 Months,6484.0,7073.0,7957.0,8547.0,112.0,24.0,27.0,29.0,32.0,10-0000077,86.0,Hyderabad East,32.0,760573.0,CAFIRATE DROPS 20 MG 3 ML
44,No Risk,74.0,62.0,62.0,62.0,26.0,7.0,7.0,6.0,6.0,10-0000082,3.0,Hyderabad East,24.0,7106.0,CIPLOX  -  E E DROPS 10 ML
45,<3 Months,160.0,196.0,178.0,143.0,54.0,13.0,15.0,14.0,12.0,10-0000083,23.0,Hyderabad East,33.0,10409.0,CIPLOX - D E E DROPS
48,No Risk,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,1.0,10-0000086,61.0,Hyderabad East,6.0,112249.0,CROCIN DROPS 10 ML
49,No Risk,581.0,498.0,581.0,498.0,34.0,9.0,8.0,9.0,8.0,10-0000089,7.0,Hyderabad East,29.0,62136.0,DEWAX EAR DROPS 10 ML
50,No Risk,589.0,707.0,825.0,707.0,32.0,7.0,8.0,9.0,8.0,10-0000095,21.0,Hyderabad East,14.0,41664.0,FML LIQUIFILM EYE DROPS 0.1 % 5 ML
52,No Risk,815.0,737.0,660.0,582.0,84.0,24.0,22.0,20.0,18.0,10-0000100,31.0,Hyderabad East,57.0,111259.0,KUFRIL - LS DROPS 15 ML
53,<3 Months,206.0,206.0,183.0,183.0,42.0,11.0,11.0,10.0,10.0,10-0000103,25.0,Hyderabad East,22.0,16704.0,MUCOLITE DROPS15ML
54,No Risk,1274.0,1163.0,1219.0,1108.0,98.0,26.0,24.0,25.0,23.0,10-0000104,23.0,Hyderabad East,84.0,150319.0,NASIVION  NASAL DROPS (MINI)  0.01% 10ML
