aging_risk,demand_forecast,inventory_aging_risk,material_id,replenishment_quantity,plant,safe_stock,closing_stock,stock_replenishment_prediction
3+ Months,0.0,True,10-0000001,0.0,Hyderabad East,0.0,215.0,False
<3 Months,16.0,False,10-0000003,3.227782659834048,Hyderabad East,5.227782659834046,18.0,True
No Risk,340.0,False,10-0000004,269.06502922375887,Hyderabad East,79.06502922375888,150.0,True
No Risk,0.0,False,10-0000005,0.0,Hyderabad East,0.0,60.0,False
No Risk,91.0,False,10-0000011,0.0,Hyderabad East,43.372143000565906,421.0,False
No Risk,0.0,False,10-0000012,0.0,Hyderabad East,0.0,90.0,False
No Risk,0.0,False,10-0000013,0.0,Hyderabad East,0.0,47.0,False
No Risk,160.0,False,10-0000014,66.20712866945061,Hyderabad East,50.20712866945061,144.0,True
No Risk,16.0,False,10-0000015,5.74012247459175,Hyderabad East,10.740122474591749,21.0,True
No Risk,0.0,False,10-0000016,0.0,Hyderabad East,0.0,19.0,False
No Risk,160.0,False,10-0000017,186.95733809045464,Hyderabad East,26.95733809045464,0.0,True
No Risk,157.0,False,10-0000018,6.344729872384761,Hyderabad East,28.344729872384768,179.0,True
No Risk,375.0,False,10-0000019,200.7404410849341,Hyderabad East,72.74044108493409,247.0,True
No Risk,198.0,False,10-0000020,0.0,Hyderabad East,56.36881861045574,581.0,False
No Risk,39.0,False,10-0000023,0.0,Hyderabad East,11.640606149958924,84.0,False
No Risk,18.0,False,10-0000028,0.0,Hyderabad East,4.6511723088006365,30.0,False
No Risk,503.0,False,10-0000029,0.0,Hyderabad East,93.32298628543114,616.0,False
<3 Months,3435.0,False,10-0000030,1095.2163579878693,Hyderabad East,216.2163579878693,2556.0,True
No Risk,87.0,False,10-0000032,0.0,Hyderabad East,23.367258899184954,187.0,False
No Risk,0.0,False,10-0000033,0.0,Hyderabad East,0.0,88.0,False
No Risk,66.0,False,10-0000038,0.3044381037386188,Hyderabad East,24.304438103738615,90.0,True
No Risk,0.0,False,10-0000039,0.0,Hyderabad East,0.0,50.0,False
No Risk,0.0,False,10-0000040,0.0,Hyderabad East,0.0,0.0,False
No Risk,800.0,False,10-0000042,0.0,Hyderabad East,184.99624881851813,1240.0,False
No Risk,0.0,False,10-0000045,0.0,Hyderabad East,0.0,80.0,False
No Risk,0.0,False,10-0000047,0.0,Hyderabad East,0.0,130.0,False
No Risk,190.0,False,10-0000048,20.13059867064149,Hyderabad East,50.1305986706415,220.0,True
No Risk,0.0,False,10-0000049,0.0,Hyderabad East,0.0,120.0,False
No Risk,525.0,False,10-0000050,404.0693909968886,Hyderabad East,129.06939099688856,250.0,True
No Risk,0.0,False,10-0000051,0.0,Hyderabad East,0.0,0.0,False
No Risk,0.0,False,10-0000052,0.0,Hyderabad East,0.0,0.0,False
